postcode	stadsdeel
1011	Centrum
1012	Centrum
1013	Centrum
1014	Centrum
1015	Centrum
1016	Centrum
1017	Centrum
1018	Centrum
1019	Oostelijk Eilanden (Jay)
1021	Noord
1022	Noord
1023	Noord
1024	Noord
1025	Noord
1026	Noord
1027	Noord
1028	Noord
1029	Noord
1030	Noord
1031	Noord
1032	Noord
1033	Noord
1034	Noord
1035	Noord
1036	Noord
1051	West
1052	West
1053	West
1054	West
1055	West
1056	West
1057	West
1058	West
1059	West
1060	De Aker (Jay)
1061	Nieuw-West
1062	Nieuw-West
1063	Nieuw-West
1064	Nieuw-West
1065	Nieuw-West
1066	Nieuw-West
1067	Nieuw-West
1068	Nieuw-West
1069	Nieuw-West
1071	Zuid
1072	Zuid
1073	Zuid
1074	Zuid
1075	Zuid
1076	Zuid
1077	Zuid
1078	Zuid
1079	Zuid
1081	Zuid Buitenveldert
1082	Zuid Buitenveldert
1083	Zuid Buitenveldert
1086	O IJburg
1087	O IJburg
1091	Oost
1092	Oost
1093	Oost
1094	Oost
1095	Oost
1096	Oost
1097	Oost
1098	Oost
1101	Zuid-Oost
1102	Zuid-Oost
1103	Zuid-Oost
1104	Zuid-Oost
1105	Zuid-Oost
1106	Zuid-Oost
1107	Zuid-Oost
1108	Zuid-Oost
1109	ZO Driemand
1111	Diemen
1112	Diemen
1113	Diemen
1181	Amstelveen
1182	Amstelveen
1183	Amstelveen
1184	Amstelveen
1185	Amstelveen
1186	Amstelveen
1187	Amstelveen
1188	Amstelveen
1189	Amstelveen
