Straat;Huisnr.;Toev.;Postcode;Plaats;Makelaar;Tel makelaar;Aanmeldingsoort;Huidige prijs;Koop conditie;Prijs per m2;Transactie prijs / huur;Transactieprijs per m2;Huidige huur;Huur conditie;Vertrouwelijk;Datum aanmelding;Voorbehoud vanaf;Voorbehoud tot;Datum afmelding;Ondertekening akte;Transactiedatum;Transportdatum;Ontb. voorwaarden FIN;Waarborg;Dagen op de markt;Woonoppervlakte;Inhoud woning;Perceel oppervlak ;Overige inpandige ruimte;Externe bergruimte;Gebouwgeb. buitenruimte;Woonkamer;Bouwjaar / Periode;Aantal kamers;Aantal slaapkamers;Soort OG;Soort woning;Soort appartement;Type woning;Kwaliteit woning;Subtype woning/appartement;(Voorlopig) energielabel;Energie index;Energie einddatum;Status;Medeaanmelders;Prijs aanvaarding;Aantal prijswijzigingen;Aangemeld voor;Prijswijziging 1;Datum;Verschil;Prijswijziging 2;Datum;Verschil;Prijswijziging 3;Datum;Verschil;Prijswijziging 4;Datum;Verschil;Prijswijziging 5;Datum;Verschil
Eerste Goudsbloemdwarsstraat;2;B;1015 JW;AMSTERDAM;Your Home Makelaardij ;020-3706020;In verhuur genomen; € - ;; € - ;€ 1,230;€ 41;€ 1,230;Per maand;nee;16-7-2019;;;1-8-2019;29-7-2019;29-7-2019;12-8-2019;;;14;30;90;;;;;;;1;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;per datum;0;€ 1,230;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Marnixstraat;36;HR;1015 XK;AMSTERDAM;Expats Amsterdam ;(+31) 23 751 57 67;In verhuur genomen; € - ;; € - ;€ 1,375;€ 39;€ 1,375;Per maand;nee;26-7-2019;;;9-8-2019;9-8-2019;9-8-2019;;;;15;35;100;;;;;;;1;0;Appartement;;benedenwoning;;;;;;;Verhuurd;;in overleg;0;€ 1,375;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Goudsbloemstraat;32;3;1015 JP;AMSTERDAM;RKZ Makelaars ;020-2600151;In verhuur genomen; € - ;; € - ;€ 1,400;€ 44;€ 1,400;Per maand;nee;20-7-2019;9-8-2019;;7-8-2019;6-8-2019;6-8-2019;10-8-2019;;;18;32;120;;;;;;;2;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;direct;0;€ 1,400;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Tweede Anjeliersdwarsstraat;;;1015 NT;AMSTERDAM;The Rental Agency Amsterdam ;06-39751462;In verhuur genomen; € - ;; € - ;€ 1,500;€ 35;€ 1,500;Per maand;nee;27-5-2019;;;3-8-2019;1-8-2019;1-8-2019;1-8-2019;;;67;43;188;;;;;;1900;3;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;in overleg;1;€ 1,600;€ 1,500;29-6-2019;€ 100;  ;;  ;  ;;  ;  ;;  ;  ;;  
Nieuwe Leliestraat;17;1;1015 SH;AMSTERDAM;Bosma Makelaardij | Bosma Real Estate ;(+31) 20 890 03 32;In verhuur genomen; € - ;; € - ;€ 1,500;€ 37;€ 1,500;Per maand;nee;5-6-2019;19-7-2019;;30-7-2019;30-7-2019;30-7-2019;1-8-2019;;;56;41;115;;;;4;;1906;2;1;Appartement;;bovenwoning;;;;A;1.03;4-8-2024;Verhuurd;;direct;1;€ 1,600;€ 1,500;1-7-2019;€ 100;  ;;  ;  ;;  ;  ;;  ;  ;;  
Goudsbloemstraat;130;I;1015 JT;AMSTERDAM;Bridges Makelaardij B.V. ;020-8950695;In verhuur genomen; € - ;; € - ;€ 1,500;€ 38;€ 1,500;Per maand;nee;30-7-2019;;;9-8-2019;8-8-2019;8-8-2019;9-8-2019;;;10;40;120;;;;;;;3;2;Appartement;;bovenwoning;;;;;;;Verhuurd;;in overleg;0;€ 1,500;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Driehoekstraat;56;;1015 GL;AMSTERDAM;Your Home Makelaardij ;020-3706020;In verhuur genomen; € - ;; € - ;€ 1,550;€ 24;€ 1,550;Per maand;nee;3-7-2019;25-7-2019;;1-8-2019;1-8-2019;1-8-2019;9-8-2019;;;30;65;160;;;;;;;3;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;per datum;1;€ 1,700;€ 1,550;22-7-2019;€ 150;  ;;  ;  ;;  ;  ;;  ;  ;;  
Westerkade;11;A;1015 XD;AMSTERDAM;Dutch Real Estate Company Amsterdam ;020-7723460;In verhuur genomen; € - ;; € - ;€ 1,550;€ 32;€ 1,550;Per maand;nee;17-7-2019;1-8-2019;;5-8-2019;5-8-2019;5-8-2019;16-8-2019;;;20;48;130;;;;;;1906;2;1;Appartement;;beneden + bovenwoning;;;;B;;1-4-2022;Verhuurd;;in overleg;0;€ 1,550;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Bloemgracht;158;c;1015 TT;Amsterdam;HouseHunting 't Gooi ;035 4400210;In verhuur genomen; € - ;; € - ;€ 1,625;€ 36;€ 1,625;Per maand;nee;21-5-2019;;;20-8-2019;16-7-2019;16-7-2019;18-7-2019;;;57;45;100;;2;;3;;1900;2;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;in overleg;0;€ 1,625;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Herengracht;51;;1015 BC;AMSTERDAM;Van Roijen Makelaardij o.g. b.v. ;020-6629010;In verhuur genomen; € - ;; € - ;€ 1,650;€ 27;€ 1,650;Per maand;nee;12-7-2019;;;22-7-2019;22-7-2019;22-7-2019;10-8-2019;;;11;61;150;;;;;;;3;1;Appartement;;benedenwoning;;;;B;;1-2-2026;Verhuurd;;in overleg;0;€ 1,650;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
