Straat;Huisnr.;Toev.;Postcode;Plaats;Makelaar;Tel makelaar;Aanmeldingsoort;Huidige prijs;Koop conditie;Prijs per m2;Transactie prijs / huur;Transactieprijs per m2;Huidige huur;Huur conditie;Vertrouwelijk;Datum aanmelding;Voorbehoud vanaf;Voorbehoud tot;Datum afmelding;Ondertekening akte;Transactiedatum;Transportdatum;Ontb. voorwaarden FIN;Waarborg;Dagen op de markt;Woonoppervlakte;Inhoud woning;Perceel oppervlak ;Overige inpandige ruimte;Externe bergruimte;Gebouwgeb. buitenruimte;Woonkamer;Bouwjaar / Periode;Aantal kamers;Aantal slaapkamers;Soort OG;Soort woning;Soort appartement;Type woning;Kwaliteit woning;Subtype woning/appartement;(Voorlopig) energielabel;Energie index;Energie einddatum;Status;Medeaanmelders;Prijs aanvaarding;Aantal prijswijzigingen;Aangemeld voor;Prijswijziging 1;Datum;Verschil;Prijswijziging 2;Datum;Verschil;Prijswijziging 3;Datum;Verschil;Prijswijziging 4;Datum;Verschil;Prijswijziging 5;Datum;Verschil
Rijswijkstraat;4;;1059 GK;AMSTERDAM;Rappange Makelaardij b.v. ;020-6240363;In verhuur genomen; € - ;; € - ;€ 720;€ 26;€ 720;Per maand;nee;8-7-2019;;;16-7-2019;16-7-2019;16-7-2019;16-7-2019;;;9;28;73;;;;;;2007;1;0;Appartement;;studentenkamer;;;;;;;Verhuurd;;in overleg;0;€ 720;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Marnixstraat;273;-2 voor;1015 WK;AMSTERDAM;Rappange Makelaardij b.v. ;020-6240363;In verhuur genomen; € - ;; € - ;€ 795;€ 32;€ 795;Per maand;nee;17-6-2019;;;27-6-2019;27-6-2019;27-6-2019;1-7-2019;;;11;25;65;;;;;;;1;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;in overleg;0;€ 795;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Dolingadreef;143;;1102 WS;AMSTERDAM;Otter Makelaardij ;202182555;In verhuur genomen; € - ;; € - ;€ 795;€ 20;€ 795;Per maand;nee;19-6-2019;;;5-7-2019;5-7-2019;5-7-2019;5-7-2019;;;17;40;100;;;;;;1985;1;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;direct;1;€ 895;€ 795;4-7-2019;€ 100;  ;;  ;  ;;  ;  ;;  ;  ;;  
Beemsterstraat;546;L6;1024 BV;Amsterdam;MVGM Amsterdam ;;In verhuur genomen; € - ;; € - ;€ 819;€ 9;€ 819;Per maand;nee;14-6-2019;;;17-7-2019;17-7-2019;17-7-2019;17-7-2019;;;34;96;249;;;;5;23;;2;1;Appartement;;tussenverdieping;;;;;;;Verhuurd;;per datum;0;€ 819;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Korte Geuzenstraat;700;708;1056 KZ;AMSTERDAM;IJisberg Real Estate Rentals ;646280649;In verhuur genomen; € - ;; € - ;€ 850;€ 77;€ 850;Per maand;nee;27-6-2019;;;2-7-2019;1-7-2019;1-7-2019;;;;5;11;33;;;;;;1942;1;0;Appartement;;studentenkamer;;;;;;;Verhuurd;;per datum;0;€ 850;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Anna Blamansingel;148;;1102 SV;AMSTERDAM;Kuijs Reinder Kakes ;020-6265361;In verhuur genomen; € - ;; € - ;€ 850;€ 9;€ 850;Per maand;nee;8-7-2019;9-7-2019;;22-7-2019;22-7-2019;22-7-2019;;;;15;95;238;;2;3;1;;2006;3;2;Appartement;;bovenwoning;;;;A;1.07;7-10-2026;Verhuurd;;in overleg;0;€ 850;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Courbetstraat;10;II;1077 ZT;AMSTERDAM;Housingnet V.O.F. ;020-7601500;In verhuur genomen; € - ;; € - ;€ 875;€ 35;€ 875;Per maand;nee;5-7-2019;;;24-7-2019;24-7-2019;24-7-2019;1-8-2019;;;20;25;70;;;;;;1933;1;1;Appartement;;studentenkamer;;;;;;;Verhuurd;;per datum;0;€ 875;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Dolingadreef;143;;1102 WS;AMSTERDAM;Otter Makelaardij ;202182555;In verhuur genomen; € - ;; € - ;€ 895;€ 22;€ 895;Per maand;nee;6-3-2019;;;5-6-2019;5-6-2019;5-6-2019;5-6-2019;;;92;40;100;;;;;;1985;1;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;per datum;0;€ 895;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Nieuw Herlaer;127;;1083 BC;AMSTERDAM;Rijsterborgh Makelaars b.v. ;020-6451146;In verhuur genomen; € - ;; € - ;€ 895;€ 11;€ 895;Per maand;nee;5-8-2019;5-8-2019;2-8-2019;6-8-2019;5-8-2019;5-8-2019;5-8-2019;;;1;80;180;;6;;;;;2;1;Appartement;;portiekflat;;;;;;;Verhuurd;;in overleg;0;€ 895;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Lia Doranastraat;15;;1031 HK;AMSTERDAM;Hallie & Van Klooster Makelaardij ;020-6816716;In verhuur genomen; € - ;; € - ;€ 900;€ 18;€ 900;Per maand;nee;16-2-2019;;;26-6-2019;20-5-2019;20-5-2019;20-5-2019;;;94;50;130;;;2;5;32;2019;2;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;in overleg;0;€ 900;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Lia Doranastraat;1;;1031 HK;AMSTERDAM;Hallie & Van Klooster Makelaardij ;020-6816716;In verhuur genomen; € - ;; € - ;€ 900;€ 18;€ 900;Per maand;nee;28-2-2019;;;26-6-2019;16-5-2019;16-5-2019;16-5-2019;;;78;50;130;;;2;5;32;2019;2;1;Appartement;;benedenwoning;;;;;;;Verhuurd;;in overleg;0;€ 900;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Lia Doranastraat;3;;1031 HK;AMSTERDAM;Hallie & Van Klooster Makelaardij ;020-6816716;In verhuur genomen; € - ;; € - ;€ 900;€ 18;€ 900;Per maand;nee;28-2-2019;;;26-6-2019;23-5-2019;23-5-2019;23-5-2019;;;85;50;130;;;2;5;32;2019;2;1;Appartement;;benedenwoning;;;;;;;Verhuurd;;in overleg;0;€ 900;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Diemerparklaan;407;;1087 EB;AMSTERDAM;Kuijs Reinder Kakes ;020-6265361;In verhuur genomen; € - ;; € - ;€ 900;€ 11;€ 900;Per maand;nee;6-6-2019;21-6-2019;;28-6-2019;27-6-2019;27-6-2019;;;;22;85;221;;2;8;14;;1015;3;2;Appartement;;bovenwoning;;;;A+;0.99;18-8-2026;Verhuurd;;in overleg;0;€ 900;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Lia Doranastraat;35;;1031 HK;AMSTERDAM;Hallie & Van Klooster Makelaardij ;020-6816716;In verhuur genomen; € - ;; € - ;€ 905;€ 18;€ 905;Per maand;nee;28-2-2019;;;26-6-2019;24-5-2019;24-5-2019;24-5-2019;;;86;50;130;;;2;5;32;2019;2;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;in overleg;0;€ 905;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Lia Doranastraat;25;;1031 HK;AMSTERDAM;Hallie & Van Klooster Makelaardij ;020-6816716;In verhuur genomen; € - ;; € - ;€ 905;€ 18;€ 905;Per maand;nee;28-2-2019;;;26-6-2019;17-5-2019;17-5-2019;17-5-2019;;;79;50;130;;;2;5;32;2019;2;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;in overleg;0;€ 905;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
IJdoornlaan;1523;;1034 BM;AMSTERDAM;Rebo Vastgoedmanagement B.V Amsterdam ;;In verhuur genomen; € - ;; € - ;€ 907;€ 13;€ 907;Per maand;nee;28-5-2019;11-6-2019;;12-6-2019;12-6-2019;12-6-2019;12-6-2019;;;16;71;178;;;;8;;;2;1;Appartement;;bovenwoning;;;;A;;31-12-2019;Verhuurd;;direct;0;€ 907;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Vrouwengelukhof;6;;1061 BS;Amsterdam;Wooove B.V. ;;In verhuur genomen; € - ;; € - ;€ 915;€ 18;€ 915;Per maand;nee;23-5-2019;;;20-6-2019;20-6-2019;20-6-2019;20-6-2019;;;29;50;130;;;;;;2019;2;1;Appartement;;portiekflat;;;;;;;Verhuurd;;in overleg;0;€ 915;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Lia Doranastraat;49;;1031 HK;AMSTERDAM;Hallie & Van Klooster Makelaardij ;020-6816716;In verhuur genomen; € - ;; € - ;€ 920;€ 18;€ 920;Per maand;nee;28-2-2019;;;26-6-2019;24-5-2019;24-5-2019;24-5-2019;;;86;50;130;;;2;5;32;2019;2;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;in overleg;0;€ 920;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Sumatrakade;1291;;1019 RK;Amsterdam;MVGM Amsterdam ;;In verhuur genomen; € - ;; € - ;€ 920;€ 17;€ 920;Per maand;nee;14-5-2019;;;12-6-2019;12-6-2019;12-6-2019;12-6-2019;;;30;53;137;;3;;7;;1997;1;1;Appartement;;portiekflat;;;;C;1.38;1-12-2019;Verhuurd;;per datum;0;€ 920;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Madurastraat;50;-3;1094 GP;AMSTERDAM;Kuijs Reinder Kakes ;020-6265361;In verhuur genomen; € - ;; € - ;€ 920;€ 13;€ 920;Per maand;nee;5-8-2019;5-8-2019;;20-8-2019;9-8-2019;9-8-2019;;;;5;69;173;;2;;6;;1902;2;1;Appartement;;maisonnette;;;;A;0.99;4-5-2026;Verhuurd;;in overleg;0;€ 920;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Anna Blamansingel;196;;1102 SW;AMSTERDAM;Kuijs Reinder Kakes ;020-6265361;In verhuur genomen; € - ;; € - ;€ 925;€ 9;€ 925;Per maand;nee;10-7-2019;;;30-7-2019;30-7-2019;30-7-2019;;;;21;102;266;;3;4;2;;2006;4;3;Appartement;;bovenwoning;;;;A;1.23;7-10-2026;Verhuurd;;in overleg;0;€ 925;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Leusdenhof;289;;1108 DN;Amsterdam;ACM Housing ;31207570600;In verhuur genomen; € - ;; € - ;€ 940;€ 14;€ 930;Per maand;nee;23-5-2019;;3-6-2019;14-6-2019;14-6-2019;14-6-2019;;;;23;68;185;;3;6;;20;;3;2;Appartement;;portiekflat;;;;;;;Verhuurd;;per datum;0;€ 930;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Anna Blamansingel;213;;1102 SW;AMSTERDAM;Kuijs Reinder Kakes ;020-6265361;In verhuur genomen; € - ;; € - ;€ 935;€ 9;€ 935;Per maand;nee;13-5-2019;;;5-6-2019;31-5-2019;31-5-2019;;;;19;106;265;;5;4;;;2006;3;2;Appartement;;bovenwoning;;;;A;1.21;7-10-2026;Verhuurd;;in overleg;0;€ 935;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Eva Besnyostraat;322;;1087 LM;AMSTERDAM;Kuijs Reinder Kakes ;020-6265361;In verhuur genomen; € - ;; € - ;€ 935;€ 10;€ 935;Per maand;nee;15-5-2019;17-5-2019;;5-6-2019;4-6-2019;4-6-2019;;;;21;91;237;;3;6;9;;2008;3;2;Appartement;;bovenwoning;;;;A;1.05;1-6-2027;Verhuurd;;in overleg;0;€ 935;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Anna Blamansingel;153;;1102 SV;AMSTERDAM;Kuijs Reinder Kakes ;020-6265361;In verhuur genomen; € - ;; € - ;€ 935;€ 9;€ 935;Per maand;nee;20-5-2019;20-5-2019;;13-6-2019;11-6-2019;11-6-2019;;;;23;102;266;;3;4;1;;2006;3;2;Appartement;;bovenwoning;;;;A;1.23;7-10-2026;Verhuurd;;in overleg;0;€ 935;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Leerdamhof;302;;1108 CB;Amsterdam;ACM Housing ;31207570600;In verhuur genomen; € - ;; € - ;€ 935;€ 14;€ 935;Per maand;nee;23-5-2019;5-6-2019;5-6-2019;14-6-2019;14-6-2019;14-6-2019;;;;23;65;227;;3;3;10;20;;3;2;Appartement;;benedenwoning;;;;;;;Verhuurd;;per datum;0;€ 935;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Eva Besnyostraat;338;;1087 LM;AMSTERDAM;Kuijs Reinder Kakes ;020-6265361;In verhuur genomen; € - ;; € - ;€ 1,165;€ 13;€ 935;Per maand;nee;12-6-2019;12-7-2019;;2-8-2019;2-8-2019;2-8-2019;;;;52;91;237;;3;6;9;;2008;3;2;Appartement;;bovenwoning;;;;A;1.05;1-6-2027;Verhuurd;;in overleg;0;€ 935;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Spuistraat;303;IV;1012 VS;AMSTERDAM;Draijer Makelaardij & Vastgoedbeheer ;020-6237879;In verhuur genomen; € - ;; € - ;€ 950;€ 18;€ 950;Per maand;nee;19-7-2019;;;26-7-2019;26-7-2019;26-7-2019;1-8-2019;;;8;52;145;;;;;;;2;1;Appartement;;bovenwoning;;;;;;;Verhuurd;;in overleg;0;€ 950;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Singel;387;1;1012 WN;AMSTERDAM;De Graaf & Groot Makelaars en Taxateurs o.g. ;020-6627140;In verhuur genomen; € - ;; € - ;€ 950;€ 30;€ 950;Per maand;nee;19-7-2019;;;29-7-2019;29-7-2019;29-7-2019;;;;11;32;100;;;;;;;2;1;Appartement;;tussenverdieping;;;;;;;Verhuurd;;in overleg;0;€ 950;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Burgemeester Vening Meineszlaan;17;;1063 AV;AMSTERDAM;Kuijs Reinder Kakes ;020-6265361;In verhuur genomen; € - ;; € - ;€ 965;€ 11;€ 965;Per maand;nee;22-3-2019;20-5-2019;;5-6-2019;21-5-2019;21-5-2019;;;;61;88;211;;;6;;;1984;5;3;Woonhuis;eengezinswoning;;tussenwoning;;;;;;Verhuurd;;in overleg;0;€ 965;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Hamontstraat;190;;1066 ND;Amsterdam;MVGM Amsterdam ;;In verhuur genomen; € - ;; € - ;€ 975;€ 12;€ 975;Per maand;nee;7-5-2019;1-7-2019;;30-7-2019;2-7-2019;2-7-2019;2-7-2019;;;57;80;208;;;6;96;;1991;4;2;Appartement;;bovenwoning;;;;;;;Verhuurd;;direct;0;€ 975;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
