Straat;Huisnr.;Toev.;Postcode;Plaats;Makelaar;Tel makelaar;Aanmeldingsoort;Huidige prijs;Koop conditie;Prijs per m2;Transactie prijs / huur;Transactieprijs per m2;Huidige huur;Huur conditie;Vertrouwelijk;Datum aanmelding;Voorbehoud vanaf;Voorbehoud tot;Datum afmelding;Ondertekening akte;Transactiedatum;Transportdatum;Ontb. voorwaarden FIN;Waarborg;Dagen op de markt;Woonoppervlakte;Inhoud woning;Perceel oppervlak ;Overige inpandige ruimte;Externe bergruimte;Gebouwgeb. buitenruimte;Woonkamer;Bouwjaar / Periode;Aantal kamers;Aantal slaapkamers;Soort OG;Soort woning;Soort appartement;Type woning;Kwaliteit woning;Subtype woning/appartement;(Voorlopig) energielabel;Energie index;Energie einddatum;Status;Medeaanmelders;Prijs aanvaarding;Aantal prijswijzigingen;Aangemeld voor;Prijswijziging 1;Datum;Verschil;Prijswijziging 2;Datum;Verschil;Prijswijziging 3;Datum;Verschil;Prijswijziging 4;Datum;Verschil;Prijswijziging 5;Datum;Verschil
Korte Geuzenstraat;700;22;1056 KZ;AMSTERDAM;Scholten Makelaardij ;020 6890505;In verkoop genomen;€ 97,500;Kosten koper;€ 10,833;€ 90,000;€ 10,000;  ;;nee;11-4-2019;7-8-2019;12-8-2019;12-8-2019;7-8-2019;7-8-2019;16-8-2019;;;119;9;27;;;;;;;1;1;Appartement;;bovenwoning;;;;;;;Verkocht;;in overleg;0;€ 97,500;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Jisperveldstraat;581;;1024 BC;AMSTERDAM;ERA Van De Steege ;020-4357000;In verkoop genomen;€ 139,500;Kosten koper;€ 4,650;€ 160,500;€ 5,350;  ;;nee;15-5-2019;7-6-2019;;3-7-2019;7-6-2019;7-6-2019;15-7-2019;;;24;30;113;;;;5;;1968;1;1;Appartement;;tussenverdieping;;;;;;;Verkocht;;in overleg;0;€ 139,500;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Amerbos;152;;1025 ZR;AMSTERDAM;ERA Van De Steege ;020-4357000;In verkoop genomen;€ 139,500;Kosten koper;€ 4,810;€ 153,700;€ 5,300;  ;;nee;26-6-2019;16-7-2019;;15-8-2019;16-7-2019;16-7-2019;23-8-2019;;;21;29;105;;;5;5;16;1966;1;0;Appartement;;galerijflat;;;;;;;Verkocht;;in overleg;0;€ 139,500;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Dostojevskisingel;325;;1102 XM;AMSTERDAM;Collectief Makelaars ;020-5356868;In verkoop genomen;€ 140,000;Kosten koper;€ 4,118;€ 160,500;€ 4,721;  ;;nee;4-6-2019;17-7-2019;;19-8-2019;28-6-2019;28-6-2019;8-8-2019;;;25;34;98;;;1;;;1984;2;1;Appartement;;bovenwoning;;;;;;;Verkocht;;direct;0;€ 140,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Dantestraat;138;;1102 ZP;AMSTERDAM;Collectief Makelaars ;020-5356868;In verkoop genomen;€ 145,000;Kosten koper;€ 4,265;€ 153,000;€ 4,500;  ;;nee;13-2-2019;2-4-2019;;11-7-2019;5-3-2019;5-3-2019;11-4-2019;;;21;34;110;;;2;;;1984;1;0;Appartement;;bovenwoning;;;;C;;12-2-2029;Verkocht;;in overleg;1;€ 140,000;€ 145,000;13-2-2019;€ -5,000;  ;;  ;  ;;  ;  ;;  ;  ;;  
Dantestraat;160;;1102 ZR;AMSTERDAM;Collectief Makelaars ;020-5356868;In verkoop genomen;€ 145,000;Kosten koper;€ 4,265;€ 165,000;€ 4,853;  ;;nee;9-5-2019;29-5-2019;;8-7-2019;29-5-2019;29-5-2019;9-8-2019;;;21;34;110;;;2;;;1984;1;0;Appartement;;bovenwoning;;;;;;;Verkocht;;in overleg;0;€ 145,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Jisperveldstraat;365;;1024 AS;AMSTERDAM;Arthur de Bock Makelaardij ;0299-666641;In verkoop genomen;€ 150,000;Kosten koper;€ 5,172;€ 162,500;€ 5,603;  ;;nee;20-2-2019;28-6-2019;5-8-2019;11-7-2019;24-6-2019;24-6-2019;15-8-2019;;;125;29;100;;;3;5;;1968;1;1;Appartement;;galerijflat;;;;;;;Verkocht;;in overleg;0;€ 150,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Zuid-Hollandstraat;152;;1082 EN;AMSTERDAM;Kuijs Reinder Kakes ;020-6265361;In verkoop genomen;€ 150,000;Kosten koper;€ 7,895;€ 160,000;€ 8,421;  ;;nee;26-4-2019;22-5-2019;27-5-2019;28-6-2019;22-5-2019;22-5-2019;18-7-2019;;;27;19;59;;;;;;;1;1;Appartement;;benedenwoning;;;;;;;Verkocht;;in overleg;0;€ 150,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Chestertonlaan;66;;1102 XZ;Amsterdam;RG Woonadvies ;020 3584394;In verkoop genomen;€ 174,500;Kosten koper;€ 4,256;€ 190,000;€ 4,634;  ;;nee;19-1-2019;13-2-2019;15-4-2019;5-7-2019;13-2-2019;13-2-2019;30-5-2019;;;26;41;117;;;3;3;;1984;2;1;Appartement;;portiekflat;;;;C;;11-8-2026;Verkocht;;in overleg;0;€ 174,500;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
Bezaanjachtplein;75;;1034 CR;Amsterdam;Hoekstra & Van Eck Amsterdam-Noord ;020-6341332;In verkoop genomen;€ 175,000;Kosten koper;€ 5,303;€ 187,777;€ 5,690;  ;;nee;20-2-2019;1-4-2019;1-4-2019;12-6-2019;26-3-2019;26-3-2019;12-6-2019;;;35;33;115;;1;3;2;;2012;1;1;Appartement;;bovenwoning;;;;;;;Verkocht;;in overleg;0;€ 175,000;  ;;  ;  ;;  ;  ;;  ;  ;;  ;  ;;  
